City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Navalmoral De La Mata,ES,2022-07-22 16:28:16,39.8916,-5.5406,100.96,6,57,12.15
261,Salalah,OM,2022-07-22 16:27:29,17.0151,54.0924,78.21,87,100,6.6
262,Orichi,RU,2022-07-22 16:28:16,58.4036,49.0572,69.08,76,93,3.85
263,Saint Anthony,US,2022-07-22 16:28:16,45.0205,-93.218,86.94,47,1,1.99
264,Somerset East,ZA,2022-07-22 16:28:17,-32.7217,25.588,64.18,30,71,7.47
265,Agadez,NE,2022-07-22 16:28:17,19.75,10.25,104.38,13,40,8.14
266,Fonte Boa,BR,2022-07-22 16:28:17,-2.4959,-66.2662,80.71,90,69,3.4
267,Tilichiki,RU,2022-07-22 16:28:18,60.4667,166.1,50.61,83,100,1.1
268,Lavrentiya,RU,2022-07-22 16:28:18,65.5833,-171.0,39.63,87,74,12.59
269,Susehri,TR,2022-07-22 16:28:18,40.1644,38.0867,67.12,60,0,7.27
270,Puerto Leguizamo,CO,2022-07-22 16:28:19,-0.1934,-74.7819,78.82,71,76,0.76
271,Cap Malheureux,MU,2022-07-22 16:24:55,-19.9842,57.6142,71.47,73,56,5.99
272,Naze,JP,2022-07-22 16:23:40,28.3667,129.4833,78.44,85,67,7.18
273,Saskylakh,RU,2022-07-22 16:29:19,71.9167,114.0833,48.52,72,100,6.69
274,Hitiaa,PF,2022-07-22 16:29:20,-17.6,-149.3,71.01,79,46,10.45
275,Turbat,PK,2022-07-22 16:29:20,26.0023,63.044,87.94,65,100,13.27
276,Odessa,UA,2022-07-22 16:28:59,46.4775,30.7326,84.38,31,5,12.73
277,Aitape,PG,2022-07-22 16:29:21,-3.1374,142.3475,77.23,90,16,4.12
278,Beboto,TD,2022-07-22 16:29:21,8.2668,16.939,77.43,87,100,2.3
279,Svarstad,NO,2022-07-22 16:29:21,59.399,9.9698,61.38,43,100,7.43
280,Balintore,GB,2022-07-22 16:29:22,57.7556,-3.9123,60.12,80,100,12.37
281,Esik,KZ,2022-07-22 16:29:22,43.3552,77.4525,77.94,21,0,9.22
282,Vao,NC,2022-07-22 16:24:57,-22.6667,167.4833,74.53,86,97,21.65
283,El Dorado,US,2022-07-22 16:26:13,38.7666,-120.5177,85.64,16,0,4.23
284,Ucluelet,CA,2022-07-22 16:25:17,48.9329,-125.5528,58.08,92,100,1.01
285,Ternovka,RU,2022-07-22 16:29:23,51.678,41.6375,64.58,79,97,6.49
286,Andros Town,BS,2022-07-22 16:29:23,24.7,-77.7667,85.39,67,10,14.14
287,Luganville,VU,2022-07-22 16:29:23,-15.5333,167.1667,77.74,86,99,7.63
288,Uinskoye,RU,2022-07-22 16:29:24,56.8817,56.5813,64.56,82,69,4.54
289,Chandannagar,IN,2022-07-22 16:29:24,22.8692,88.3772,83.17,80,100,8.41
290,Coquimbo,CL,2022-07-22 16:29:25,-29.9533,-71.3436,58.66,80,20,4.99
291,Berlevag,NO,2022-07-22 16:29:25,70.8578,29.0864,54.5,83,86,18.77
